No|Fakultas|Jurusan|Kode|ID|Matakuliah|Aksi
813|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141221B|3143|RE141221B-Matematika Rekayasa Kelas B|setting
814|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141221C|3144|RE141221C-Matematika Rekayasa Kelas C|setting
815|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141322B|3145|RE141322B-Menggambar Teknik Kelas B|setting
816|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141322C|3146|RE141322C-Menggambar Teknik Kelas C|setting
817|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141222B|3147|RE141222B-Mikrobiologi Lingkungan Kelas B|setting
818|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141222C|3148|RE141222C-Mikrobiologi Lingkungan Kelas C|setting
819|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141335B|3149|RE141335B-Unit Operasi Teknik Lingkungan Kelas B|setting
820|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141335C|3150|RE141335C-Unit Operasi Teknik Lingkungan Kelas C|setting
821|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141344B|3151|RE141344B-Unit Proses Teknik Lingkungan Kelas B|setting
822|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141344C|3152|RE141344C-Unit Proses Teknik Lingkungan Kelas C|setting
823|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141352B|3153|RE141352B-Remediasi Badan Air dan Pesisir Kelas B|setting
824|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141352A|3154|RE141352A-Remediasi Badan Air dan Pesisir Kelas A|setting
825|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141345B|3155|RE141345B-Pencemaran Udara Kelas B|setting
826|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141345Q|3156|RE141345Q-Pencemaran Udara Kelas Q / Air Pollution|setting
827|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141341B|3157|RE141341B-Pengelolaan Sumber Daya Air Kelas B|setting
828|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141341Q|3158|RE141341Q-Pengelolaan Sumber Daya Air Kelas Q|setting
829|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141364B|3159|RE141364B-Perencanaan Bangunan Pengolahan Air Limbah Setempat Kelas B|setting
830|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141364C|3160|RE141364C-Perencanaan Bangunan Pengolahan Air Limbah Setempat Kelas C|setting
831|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141363B|3161|RE141363B-Perencanaan Bangunan Pengolahan Air Minum Kelas B|setting
832|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141363C|3162|RE141363C-Perencanaan Bangunan Pengolahan Air Minum Kelas C|setting
833|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141362B|3163|RE141362B-Pengelolaan Sampah Kelas B|setting
834|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141362C|3164|RE141362C-Pengelolaan Sampah Kelas C/Q|setting
835|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141381B|3165|RE141381B-Kesehatan dan Keselamatan Kerja Kelas B|setting
836|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|RE141381C|3166|RE141381C-Kesehatan dan Keselamatan Kerja Kelas C|setting
837|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Kompasial - HHT|3168|RM184304 - Komputasi dan Pemrograman Data Spasial - HHT|setting
838|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Hitung Perataan - EYH|3169|RG141320 - Hitung Perataan - EYH & HHT|setting
839|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Geodesi Satelit - EYH|3170|RG141319 - Geodesi Satelit - EYH & HHT|setting
840|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Satelit Altimetri - 2018|3196|RG141454 - Satelit Altimetri - EYH|setting
841|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|PTD Praktikum - EYH|3197|RG141306 - Pemetaan Terestris Dasar - Praktikum - EYH|setting
842|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Aplikasi Geodesi Satelit - EYH|3198|RG142303 - Aplikasi Geodesi Satelit - 2018|setting
843|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Metodologi Penelitian - EYH|3199|RG142208 - Metodologi Penelitian - EYH|setting
844|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Analisa Deformasi dan Geodinamika - EYH|3200|RG142418 - Analisa Deformasi dan Geodinamika - EYH|setting
845|Fakultas Teknologi Industri (FTI)|Teknik Fisika|TERMO|3213|TF 141322 TERMODINAMIKA|setting
846|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Land Administration - YBO|3214|RG141458 - Land Administration - YBO|setting
847|Fakultas Teknologi Industri (FTI)|Teknik Fisika|PTFISIKA|3217|TF 141311 PENGANTAR TEKNIK FISIKA|setting
848|Fakultas Teknologi Industri (FTI)|Teknik Fisika|FISTUM|3221|TF 141234 FISIKA KUANTUM|setting
849|Fakultas Teknologi Industri (FTI)|Teknik Fisika|ELEKTRO|3226|TF 141341 ELEKTRONIKA|setting
850|Fakultas Teknologi Industri (FTI)|Teknik Fisika|SPK|3227|TF 141342 SISTEM PENGUKURAN DAN KALIBRASI|setting
851|Fakultas Teknologi Industri (FTI)|Teknik Fisika|FISBAN|3228|TF 141343 FISIKA BAHAN|setting
852|Fakultas Teknologi Industri (FTI)|Teknik Fisika|PSD|3230|TF 141352 PEMODELAN SISTEM DINAMIK|setting
853|Fakultas Teknologi Industri (FTI)|Teknik Fisika|PERPANMAS|3232|TF 141354 PERPINDAHAN PANAS DAN MASA|setting
854|Fakultas Teknologi Industri (FTI)|Teknik Fisika|REKYBAN|3233|TF 141355 REKAYASA BAHAN|setting
855|Fakultas Teknologi Industri (FTI)|Teknik Industri|mektek Q|3235|TI141206 Mekanika Teknik Q|setting
856|Fakultas Teknologi Industri (FTI)|Teknik Fisika|SPO|3237|TF 141362 SISTEM PENGENDALIAN OTOMATIK A|setting
857|Fakultas Teknologi Industri (FTI)|Teknik Fisika|MACER|3240|TF 141365 MATERIAL CERDAS|setting
858|Fakultas Teknologi Industri (FTI)|Teknik Fisika|SIFON|3241|TF 141366 SISTEM FOTONIKA|setting
859|Fakultas Teknologi Industri (FTI)|Teknik Fisika|REKTEM|3243|TF 141372 REKAYASA SISTEM KENYAMANAN TERMAL|setting
860|Fakultas Teknologi Industri (FTI)|Teknik Fisika|KP|3244|TF 141373 KERJA PRAKTEK|setting
861|Fakultas Teknologi Industri (FTI)|Teknik Fisika|PREUNERSHIP|3245|IG 141109 TECHNOPREUNERSHIP|setting
862|Fakultas Teknologi Industri (FTI)|Teknik Fisika|IG 141106|3246|IG 141106 WAWASAN KEBANGSAAN|setting
863|Fakultas Teknologi Industri (FTI)|Teknik Fisika|PA|3247|IG 141101 PENDIDIKAN AGAMA|setting
864|Fakultas Teknologi Industri (FTI)|Teknik Fisika|SISIN|3248|TF 141381 SISTEM INSTRUMENTASI|setting
865|Fakultas Teknologi Industri (FTI)|Teknik Fisika|IIN|3251|TF 141402 INSTRUMENTASI INDUSTRI|setting
866|Fakultas Teknologi Industri (FTI)|Teknik Fisika|SPM|3252|TF 141403 SISTEM PENGENDALIAN MODERN|setting
867|Fakultas Teknologi Industri (FTI)|Teknik Fisika|INMED|3253|TF 141404 INSTRUMENTASI MEDIS|setting
868|Fakultas Teknologi Industri (FTI)|Teknik Fisika|DALPRO|3254|TF 141405 PENGENDALIAN PROSES|setting
869|Fakultas Teknologi Industri (FTI)|Teknik Fisika|JST|3255|TF 141406 JARINGAN SYARAF TIRUAN|setting
870|Fakultas Teknologi Industri (FTI)|Teknik Fisika|BIOREAKTOR|3257|TF 141408 SISTEM PENGENDALIAN BIOREAKTOR|setting
871|Fakultas Teknologi Industri (FTI)|Teknik Fisika|PROPEN|3258|TF 141409 PROTEKSI DAN PENGAMANAN|setting
872|Fakultas Teknologi Industri (FTI)|Teknik Fisika|MENRISK|3259|TF 141410 MANAJEMEN RESIKO|setting
873|Fakultas Teknologi Industri (FTI)|Teknik Fisika|DAYA LISTRIK|3260|TF 141411 SISTEM KONVERSI DAYA LISTRIK|setting
874|Fakultas Teknologi Industri (FTI)|Teknik Fisika|AUNEO|3261|TF 141421 AUDITORY NEUROSCIENCE|setting
875|Fakultas Teknologi Industri (FTI)|Teknik Fisika|VIBRASI|3262|TF 141422 KONTROL VIBRASI|setting
876|Fakultas Teknologi Industri (FTI)|Teknik Fisika|TF 141423|3263|TF 141423 PREDICTIVE MAINTENANCE|setting
877|Fakultas Teknologi Industri (FTI)|Teknik Fisika|PENCAHAYAAN|3266|TF 141426 PENCAHAYAAN BUATAN|setting
878|Fakultas Teknologi Industri (FTI)|Teknik Fisika|KOMVIB|3267|141427 KOMPUTASI VIBRASI|setting
879|Fakultas Teknologi Industri (FTI)|Teknik Fisika|AUDIO|3268|TF 141428 SISTEM AUDIO|setting
880|Fakultas Teknologi Industri (FTI)|Teknik Fisika|BAWAH AIR|3269|TF 141429 AKUSTIK BAWAH AIR|setting
881|Fakultas Teknologi Industri (FTI)|Teknik Fisika|AERO|3270|TF 141431 AERODINAMIKA|setting
882|Fakultas Teknologi Industri (FTI)|Teknik Fisika|EKOENERGI|3271|TF 141432 EKONOMI ENERGI|setting
883|Fakultas Teknologi Industri (FTI)|Teknik Fisika|EBT|3272|TF 141433 ENERGI BARU TERBARUKAN|setting
884|Fakultas Teknologi Industri (FTI)|Teknik Fisika|HIDRO|3273|TF 141434 REKAYASA HIDRODINAMIKA|setting
885|Fakultas Teknologi Industri (FTI)|Teknik Fisika|KDF|3274|TF 141435 KOMPUTASI DINAMIKA FLUIDA|setting
886|Fakultas Teknologi Industri (FTI)|Teknik Fisika|MANENERGI|3275|TF 141436 MANAJEMEN ENERGI|setting
887|Fakultas Teknologi Industri (FTI)|Teknik Fisika|MESIN FLUIDA|3276|TF 141437 MESIN-MESIN FLUIDA|setting
888|Fakultas Teknologi Industri (FTI)|Teknik Fisika|TF 141438|3277|TF 141438 REKAYASA ENERGI DI INDUSTRI|setting
889|Fakultas Teknologi Industri (FTI)|Teknik Fisika|SPE|3278|TF 141439 SISTEM PENYIMPANAN ENERGI|setting
890|Fakultas Teknologi Industri (FTI)|Teknik Fisika|TF 141440|3279|TF 141440 KEBERLANJUTAN ENERGI|setting
891|Fakultas Teknologi Industri (FTI)|Teknik Fisika|KS. ENERGI|3280|TF 141441 KAPITA SELEKTA ENERGI|setting
892|Fakultas Teknologi Industri (FTI)|Teknik Fisika|KOROSI|3282|TF 141451 TEKNIK PENGENDALIAN KOROSI|setting
893|Fakultas Teknologi Industri (FTI)|Teknik Fisika|PROS.MATERIAL|3283|TF 141452 TEKNOLOGI PROSES MATERIAL|setting
894|Fakultas Teknologi Industri (FTI)|Teknik Fisika|KARAK.MATERIAL|3284|TF 141453 TEKNIK KARAKTERISASI MATERIAL|setting
895|Fakultas Teknologi Industri (FTI)|Teknik Fisika|DESAIN MATERIAL|3285|TF 141455 SELEKSI DAN DESAIN MATERIAL|setting
896|Fakultas Teknologi Industri (FTI)|Teknik Fisika|SEMIKONDUKTOR|3286|TF 141456 REKAYASA DIVAIS SEMIKONDUKTOR|setting
897|Fakultas Teknologi Industri (FTI)|Teknik Fisika|MEK.MATERIAL|3287|TF 141457 MEKANIKA MATERIAL|setting
898|Fakultas Teknologi Industri (FTI)|Teknik Fisika|MAT.ENERGI|3288|TF 141458 MATERIAL ENERGI|setting
899|Fakultas Teknologi Industri (FTI)|Teknik Fisika|SUPERKONDUKTOR|3289|TF 141459 BAHAN SUPERKONDUKTOR|setting
900|Fakultas Teknologi Industri (FTI)|Teknik Fisika|POLIMER|3290|TF 141460 POLIMER DAN KOMPOSIT|setting
901|Fakultas Teknologi Industri (FTI)|Teknik Fisika|KS.BAHAN|3291|TF 141461 KAPITA SELEKTA BAHAN|setting
902|Fakultas Teknologi Industri (FTI)|Teknik Fisika|LASER|3292|TF 141471 LASER DI INDUSTRI|setting
903|Fakultas Teknologi Industri (FTI)|Teknik Fisika|FOT.BIO|3293|TF 141473 FOTONIKA BIOMEDIS|setting
904|Fakultas Teknologi Industri (FTI)|Teknik Fisika|INSTRUMENTASI OPTIK|3294|TF 141473 NSTRUMENTASI OPTIK|setting
905|Fakultas Teknologi Industri (FTI)|Teknik Fisika|DIVAIS FOTON|3295|TF 141474 DIVAIS FOTONIKA|setting
906|Fakultas Teknologi Industri (FTI)|Teknik Fisika|SPEK.OPTIK|3296|TF 141475 SPEKTROSKOPI OPTIK|setting
907|Fakultas Teknologi Industri (FTI)|Teknik Fisika|SIS.KOM.SER.OP|3297|TF 141476 SISTEM KOMUNIKASI SERAT OPTIK|setting
908|Fakultas Teknologi Industri (FTI)|Teknik Fisika|IMPROC|3298|TF 141477 IMAGE PROCESSING|setting
909|Fakultas Teknologi Industri (FTI)|Teknik Fisika|MK PIL 1|3325|TF 141471 MATA KULIAH PILIHAN|setting
910|Fakultas Teknologi Industri (FTI)|Teknik Fisika|MK PIL 2|3326|TF 141481 MATA KULIAH PILIHAN|setting
911|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1413102014C|3367|KS141310 - Pemrograman Berbasis Web C|setting
912|Fakultas Teknologi Industri (FTI)|Teknik Mesin|21100TM1423242014A|3368|TM142324 - SISTEM PERC. & PENGENDALIAN MANUFAKTUR A|setting
913|Fakultas Teknologi Industri (FTI)|Teknik Fisika|RANGKAIAN LISTRIK S1|3369|TF 141322 RANGKAIAN LISTRIK S1|setting
914|Fakultas Teknologi Industri (FTI)|Teknik Mesin|21100TM1424462014A|3371|TM142446 - ANALISA PENCEMARAN LINGKUNGAN A|setting
915|Fakultas Teknologi Industri (FTI)|Teknik Kimia|KA|3372|KIMIA ANALISA A|setting
916|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Form Progress TA|3373|Form Kemajuan Pelaksanaan Tugas Akhir|setting
917|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Proyeksi Peta - YBO|3374|RG141321 - Proyeksi Peta - YBO|setting
918|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Teknologi Kebumian - BMS|3375|RG141208 - Teknologi Kebumian - BMS|setting
919|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Teknologi Kebumian - TGO|3376|RG141208 - Teknologi Kebumian - TGO|setting
920|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Teknologi Kebumian - MNC|3377|RG141208 - Teknologi Kebumian - MNC|setting
921|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Teknologi Kebumian - MTF|3378|RG141208 - Teknologi Kebumian - MTF|setting
922|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Pemetaan Teristris Dasar - YWO|3379|RG141306 - Pemetaan Teristris Dasar - YWO|setting
923|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Pemetaan Teristris Dasar - DGP|3380|RG141306 - Pemetaan Teristris Dasar - DGP|setting
924|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Komputasi Spasial - MNC|3381|RG141207 - Komputasi Spasial - MNC|setting
925|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Komputasi Spasial - CBP|3382|RG141207 - Komputasi Spasial - CBP|setting
926|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|GM123456 - MKT|3383|Materi Kuliah Tamu|setting
927|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Proyeksi Peta - BMS|3384|RG141321 - Proyeksi Peta - BMS|setting
928|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Proyeksi Peta - YWO|3385|RG141321 - Proyeksi Peta - YWO|setting
929|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Proyeksi Peta - UWD|3386|RG141321 - Proyeksi Peta - UWD|setting
930|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Kartografi Digital - LMJ|3387|RG141316 - Kartografi Digital - LMJ|setting
931|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Kartografi Digital - CBP|3388|RG141316 - Kartografi Digital - CBP|setting
932|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Kartografi Digital - HHT|3389|RM184306 - Kartografi Digital - HHT|setting
933|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Survei Rekayasa - MNC|3390|RG141318 - Survei Rekayasa - MNC|setting
934|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Survei Rekayasa - AKN|3391|RG141318 - Survei Rekayasa - AKN|setting
935|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Fotogrametri Dasar - TGO|3392|RG141317 - Fotogrametri Dasar - TGO|setting
936|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Fotogrametri Dasar - UWD|3393|RG141317 - Fotogrametri Dasar - UWD|setting
937|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Fotogrametri Dasar - HHT|3394|RG141317 - Fotogrametri Dasar - HHT|setting
938|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Oseanografi Fisik - KHM|3395|RG141322 - Oseanografi Fisik - KHM|setting
939|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Sistem Informasi Geografis - TGO|3396|RG141314 - Sistem Informasi Geografis - TGO|setting
940|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Sistem Informasi Geografis - UWD|3397|RG141314 - Sistem Informasi Geografis - UWD|setting
941|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Sistem Informasi Geografis - HHT|3398|RG141314 - Sistem Informasi Geografis - HHT|setting
942|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Sistem Informasi Geografis - CBP|3399|RG141314 - Sistem Informasi Geografis - CBP|setting
943|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Manajemen Survei dan Pemetaan - KHM|3400|RG141331 - Manajemen Survei dan Pemetaan - KHM|setting
944|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Manajemen Survei dan Pemetaan - HHT|3401|RG141331 - Manajemen Survei dan Pemetaan - HHT|setting
945|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Manajemen Survei dan Pemetaan - AKN|3402|RG141331 - Manajemen Survei dan Pemetaan - AKN|setting
946|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Pemetaan Pertambangan - MTF|3403|RG141329 - Pemetaan Pertambangan - MTF|setting
947|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Pemetaan Pertambangan - AKN|3404|RG141329 - Pemetaan Pertambangan - AKN|setting
948|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Survei Hidrografi - KHM|3405|RG141332 - Survei Hidrografi - KHM|setting
949|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Pemetaan Pertambangan - UWD|3406|RG141329 - Pemetaan Pertambangan - UWD|setting
950|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Geodesi Fisik - MTF|3407|RG141333 - Geodesi Fisik - MTF|setting
951|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Survei Hidrografi - AKN|3408|RG141332 - Survei Hidrografi - AKN|setting
952|Fakultas Teknologi Industri (FTI)|Teknik Kimia|TK144441|3410|METODOLOGI PENELITIAN|setting
953|Fakultas Teknologi Industri (FTI)|Teknik Fisika|REKBAN LJ|3418|TF 141355 REKAYASA BAHAN|setting
954|Fakultas Teknologi Industri (FTI)|Teknik Fisika|MATREK LJ|3419|TF 141231 MATEMATIKA REKAYASA I|setting
955|Fakultas Teknologi Industri (FTI)|Teknik Fisika|FENOM LJ|3420|TF 141233 FENOMENA GELOMBANG|setting
956|Fakultas Teknologi Industri (FTI)|Teknik Fisika|ELMAG LJ|3421|TF 141242 ELEKTROMAGNETIKA|setting
957|Fakultas Teknologi Industri (FTI)|Teknik Fisika|SINY.SIS LJ|3422|TF 141351 SINYAL DAN SISTEM|setting
958|Fakultas Teknologi Industri (FTI)|Teknik Fisika|PSD LJ|3423|TF 141352 PEMODELAN SISTEM DINAMIK|setting
959|Fakultas Teknologi Industri (FTI)|Teknik Fisika|TO LJ|3424|TF 141356 TEKNIK OPTIK|setting
960|Fakultas Teknologi Industri (FTI)|Teknik Fisika|MATREK II LJ|3425|TF 141241 MATEMATIKA REKAYASA II|setting
961|Fakultas Teknologi Industri (FTI)|Teknik Fisika|AKUSTIK LJ|3426|TF 141331 AKUSTIK|setting
962|Fakultas Teknologi Industri (FTI)|Teknik Fisika|FISBAN LJ|3427|TF 141343 FISIKA BAHAN|setting
963|Fakultas Teknologi Industri (FTI)|Teknik Fisika|GETARAN LJ|3428|TF 141353 GETARAN|setting
964|Fakultas Teknologi Industri (FTI)|Teknik Fisika|KEANDALAN LJ|3429|TF 141382 KEANDALAN|setting
965|Fakultas Teknologi Industri (FTI)|Teknik Fisika|SPO LJ|3430|TF 141362 SISTEM PENGENDALIAN OTOMATIK|setting
966|Fakultas Teknologi Industri (FTI)|Teknik Fisika|KP LJ|3431|TF 141373 KERJA PRAKTEK|setting
967|Fakultas Teknologi Industri (FTI)|Teknik Fisika|REKTEM LJ|3432|TF 141372 REKAYASA SISTEM KENYAMANAN TERMAL|setting
968|Fakultas Teknologi Industri (FTI)|Teknik Fisika|METPEN LJ|3433|TF 141361 METODOLOGI PENELITIAN|setting
969|Fakultas Teknologi Industri (FTI)|Teknik Fisika|SIFON LJ|3434|TF 141366 SISTEM FOTONIKA|setting
970|Fakultas Teknologi Industri (FTI)|Teknik Fisika|TA LJ|3435|TF 141581 TUGAS AKHIR|setting
971|Fakultas Teknologi Industri (FTI)|Teknik Fisika|RSKKE LJ|3436|TF 141364 REKAYASA SISTEM KONVERSI D AN KONSERVASI ENERGI|setting
972|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Ekivalensi Kurikulum|3454|Ekivalensi Kurikulum Teknik Geomatika ITS|setting
973|Fakultas Teknologi Industri (FTI)|Teknik Fisika|METPEN C|3456|141361 METODOLOGI PENELITIAN C|setting
974|Fakultas Ilmu Alam (FIA)|Biologi|SB 141433|3459|ENTOMOLOGI|setting
975|Fakultas Ilmu Alam (FIA)|Biologi|SB141442|3460|SB141442-ORNITOLOGI|setting
976|Fakultas Ilmu Alam (FIA)|Biologi|SB141436|3461|SB141436-PERILAKU HEWAN|setting
977|Fakultas Ilmu Alam (FIA)|Biologi|SB141431|3462|BAHAN ALAM LAUT|setting
978|Fakultas Ilmu Alam (FIA)|Biologi|SB141452|3463|BAKTERIOLOGI|setting
979|Fakultas Ilmu Alam (FIA)|Biologi|SB141304|3464|BIOKIMIA|setting
980|Fakultas Ilmu Alam (FIA)|Biologi|SB141474|3465|BIOKONSERVASI|setting
981|Fakultas Ilmu Alam (FIA)|Biologi|SB141471|3466|BIOLOGI LAUT|setting
982|Fakultas Ilmu Alam (FIA)|Biologi|SB141414|3467|BIOLOGI MANGROVE|setting
983|Fakultas Ilmu Alam (FIA)|Biologi|SB 141418|3468|BIOSINTESIS METABOLIT TUMBUHAN|setting
984|Fakultas Ilmu Alam (FIA)|Biologi|SB 141432|3469|KULTUR SEL HEWAN|setting
985|Fakultas Ilmu Alam (FIA)|Biologi|SB 141450|3470|METALOMIK MIKROBIA|setting
986|Fakultas Ilmu Alam (FIA)|Biologi|SB 141416|3471|KULTUR IN-VITRO TUMBUHAN|setting
987|Fakultas Ilmu Alam (FIA)|Biologi|SB 141472|3472|INTERAKSI HEWAN & TUMBUHAN|setting
988|Fakultas Ilmu Alam (FIA)|Biologi|SB 141434|3473|HISTOPATOLOGI HEWAN|setting
989|Fakultas Ilmu Alam (FIA)|Biologi|SB 141422|3474|GENOMIK TUMBUHAN|setting
990|Fakultas Ilmu Alam (FIA)|Biologi|SB 141443|3475|SB 141443 - ENDOKRINOLOGI|setting
991|Fakultas Ilmu Alam (FIA)|Biologi|SB 141454|3476|MIKOLOGI|setting
992|Fakultas Ilmu Alam (FIA)|Biologi|SB 141403|3477|OSEANOGRAFI|setting
993|Fakultas Ilmu Alam (FIA)|Biologi|SB 141482|3478|PENGANTAR AMDAL|setting
994|Fakultas Ilmu Alam (FIA)|Biologi|SB 141410|3479|PUPUK HAYATI|setting
995|Fakultas Ilmu Alam (FIA)|Biologi|SB 141458|3480|TEK. FERMENTASI|setting
996|Fakultas Ilmu Alam (FIA)|Biologi|SB 141412|3481|TUMBUHAN DAN MIKORIZA|setting
997|Fakultas Teknologi Industri (FTI)|Teknik Material dan Metalurgi|TL 184415|3484|TL184415 Analisis Numerik dan Pemodelan|setting
998|Fakultas Teknologi Industri (FTI)|Teknik Material dan Metalurgi|TL184852|3485|TL184852 Teknologi Pelapisan|setting
999|Fakultas Teknologi Industri (FTI)|Teknik Material dan Metalurgi|TL184309|3486|TL184309 Metalurgi 1|setting
1000|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|fisdas1_1819|3583|Fisika Dasar I|setting
1001|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|Gartek_1819|3589|Menggambar Teknik|setting
