No|Fakultas|Jurusan|Kode|Matakuliah|Mahasiswa|Aksi
79|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Riset Operasi [C]|IS4515 - Riset Operasi [C]|18|setting
80|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Riset Operasi [D]|IS4515 - Riset Operasi [D]|19|setting
81|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Kecerdasan Bisnis [A]|IS4516 - Kecerdasan Bisnis [A]|8|setting
82|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Kecerdasan Bisnis [B]|IS4516 - Kecerdasan Bisnis [B]|3|setting
83|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Kecerdasan Bisnis [C]|IS4516 - Kecerdasan Bisnis [C]|5|setting
84|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Kecerdasan Bisnis [D]|IS4516 - Kecerdasan Bisnis [D]|4|setting
85|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Kecerdasan Bisnis [E]|IS4516 - Kecerdasan Bisnis [E]|6|setting
86|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Kecerdasan Bisnis [F]|IS4516 - Kecerdasan Bisnis [F]|9|setting
87|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Kecerdasan Bisnis [G]|IS4516 - Kecerdasan Bisnis [G]|4|setting
88|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Manajemen Layanan TI [A]|IS4517 - Manajemen Layanan TI [A]|37|setting
89|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Manajemen Layanan TI [B]|IS4517 - Manajemen Layanan TI [B]|9|setting
90|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Manajemen Layanan TI [C]|IS4517 - Manajemen Layanan TI [C]|47|setting
91|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Implementasi Perangkat Lunak [A]|IS4518 - Implementasi Perangkat Lunak [A]|5|setting
92|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Implementasi Perangkat Lunak [B]|IS4518 - Implementasi Perangkat Lunak [B]|11|setting
93|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Implementasi Perangkat Lunak [C]|IS4518 - Implementasi Perangkat Lunak [C]|7|setting
94|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Implementasi Perangkat Lunak [D]|IS4518 - Implementasi Perangkat Lunak [D]|3|setting
95|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Perencanaan strategis TI [A]|IS4519 - Perencanaan strategis TI [A]|4|setting
96|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Perencanaan strategis TI [B]|IS4519 - Perencanaan strategis TI [B]|3|setting
97|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Perencanaan strategis TI [C]|IS4519 - Perencanaan strategis TI [C]|2|setting
98|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Perencanaan strategis TI [D]|IS4519 - Perencanaan strategis TI [D]|4|setting
99|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Perencanaan strategis TI [E]|IS4519 - Perencanaan strategis TI [E]|4|setting
100|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Perencanaan strategis TI [F]|IS4519 - Perencanaan strategis TI [F]|10|setting
101|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Perencanaan strategis TI [G]|IS4519 - Perencanaan strategis TI [G]|8|setting
102|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Rintisan Bisnis Digital [A]|IS4625 - Rintisan Bisnis Digital [A]|29|setting
103|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Rintisan Bisnis Digital [B]|IS4625 - Rintisan Bisnis Digital [B]|38|setting
104|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Pra TA [A]|IS4726 - Pra TA [A]|12|setting
105|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Evaluasi dan Audit TI|IS4727 - Evaluasi dan Audit TI|64|setting
106|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Etika Profesi TI [A]|IS4728 - Etika Profesi TI [A]|3|setting
107|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Etika Profesi TI [B]|IS4728 - Etika Profesi TI [B]|7|setting
108|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Etika Profesi TI [Q]|IS4728 - Etika Profesi TI [Q]|4|setting
109|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Teknologi Basis Data [A]|IS4929 - Teknologi Basis Data [A]|5|setting
110|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Pengolahan Bahasa Alami [A]|IS4931 - Pengolahan Bahasa Alami [A]|33|setting
111|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Teknologi Bergerak [A]|IS4933 - Teknologi Bergerak [A]|31|setting
112|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Internet untuk Segala [A]|IS4934 - Internet untuk Segala [A]|5|setting
113|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Forensika Digital [A]|IS4935 - Forensika Digital [A]|1|setting
114|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Keamanan Siber [A]|IS4936 - Keamanan Siber [A]|4|setting
115|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Manajemen Keberlangsungan Bisnis [A]|IS4940 - Manajemen Keberlangsungan Bisnis [A]|4|setting
116|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Penggalian Data [A]|IS4943 - Penggalian Data [A]|4|setting
117|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Optimasi Kombinatorik & Heuristik [A]|IS4944 - Optimasi Kombinatorik & Heuristik [A]|38|setting
118|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Manajemen Hubungan Pelanggan [A]|IS4946 - Manajemen Hubungan Pelanggan [A]|5|setting
119|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Sistem Keputusan Berbasis Model [A]|IS4947 - Sistem Keputusan Berbasis Model [A]|16|setting
120|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Kreatif Digital [A]|IS4949 - Kreatif Digital [A]|2|setting
121|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Sistem Basis Data [A]|IW4301 - Sistem Basis Data [A]|36|setting
122|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Sistem Basis Data [B]|IW4301 - Sistem Basis Data [B]|18|setting
123|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Sistem Basis Data [C]|IW4301 - Sistem Basis Data [C]|21|setting
124|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Sistem Basis Data [D]|IW4301 - Sistem Basis Data [D]|16|setting
125|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Jadwal TA|Jadwal Kegiatan Tugas Akhir|43|setting
126|Fakultas Teknologi Industri (FTI)|Teknik Fisika|KALII|KALKULUS II|207|setting
127|Fakultas Teknologi Industri (FTI)|Teknik Material dan Metalurgi|KM|karakterisasi material|28|setting
128|Fakultas Teknologi Industri (FTI)|Teknik Fisika|KEANDALAN DAN KUALITAS PROSES BU AULIA|KEANDALAN DAN KUALITAS PROSES BU AULIA|104|setting
129|Fakultas Teknologi Industri (FTI)|Teknik Industri|K3 - Industri|Keselamatan dan Kesehatan Kerja Industri|34|setting
130|Sistem Pembelajaran Daring (SPADA) Indonesia|none|TK141223_KA|Kimia Analisa|143|setting
131|Fakultas Teknologi Industri (FTI)|Teknik Kimia|KA|KIMIA ANALISA A|10|setting
132|Fakultas Teknologi Industri (FTI)|Teknik Kimia|KF|Kimia Fisika - TK141334 - 4 SKS (2/1/1)|84|setting
133|Fakultas Ilmu Alam (FIA)|Kimia|Kimia Medisinal|Kimia Medisinal|8|setting
134|Fakultas Ilmu Alam (FIA)|Kimia|KMS1|Kimia Membran (S1)|5|setting
135|Fakultas Ilmu Alam (FIA)|Kimia|KMS2|Kimia Membran (S2)|12|setting
136|Fakultas Ilmu Alam (FIA)|Kimia|KMA|Kimia Minyak Atsiri|8|setting
137|Fakultas Ilmu Alam (FIA)|Kimia|KOb|Kimia Obat|9|setting
138|Fakultas Ilmu Alam (FIA)|Kimia|koba|Kimia Organik Bahan Alam|19|setting
139|Fakultas Ilmu Alam (FIA)|Kimia|KOI|Kimia Organik I|79|setting
140|Fakultas Teknologi Industri (FTI)|Teknik Kimia|TK141222|Kimia Organik I kelas D|74|setting
141|Fakultas Teknologi Industri (FTI)|Teknik Kimia|KOII|KIMIA ORGANIK II|26|setting
142|Fakultas Ilmu Alam (FIA)|Kimia|KPn|Kimia Pangan|8|setting
143|Fakultas Teknologi Kelautan (FTK)|Teknik Kelautan|MO141200|Kimia Rekayasa|44|setting
144|Fakultas Teknologi Industri (FTI)|Teknik Mesin|TM4309|Kinematika Dinamika Teknik Kelas C|4|setting
145|Fakultas Teknologi Industri (FTI)|Teknik Kimia|KNT|Komputasi Numerik Terapan|41|setting
146|Fakultas Teknologi Industri (FTI)|Teknik Fisika|KOLS2|KONTROL OTOMATIK LANJUT|22|setting
147|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|KMPFisKim_1819|Konversi Massa Pencemar Secara Fisik dan Kimiawi|14|setting
148|Sistem Pembelajaran Daring (SPADA) Indonesia|none|Statistika_1_1|KS091207 - Statistika|218|setting
149|Sistem Pembelajaran Daring (SPADA) Indonesia|none|KS091303-Daring|KS091303 Sistem Operasi|163|setting
150|Sistem Pembelajaran Daring (SPADA) Indonesia|none|Pemantauan dan Evaluasi TI_1_1|KS091325 - Pemantauan dan Evaluasi TI|148|setting
151|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1412032014|KS141203 - Matematika Diskrit|12|setting
152|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1412042014|KS141204 - Bahasa Pemrograman|10|setting
153|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1412052014C|KS141205 - Algoritma dan Struktur Data C|33|setting
154|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1412052014D|KS141205 - Algoritma dan Struktur Data D|8|setting
155|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1412052014A|KS141205 - Algoritma dan Struktur Data A|22|setting
156|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1412052014B|KS141205 - Algoritma dan Struktur Data B|29|setting
157|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS141206A|KS141206 - Pengantar Sistem Operasi A|44|setting
158|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS141206B|KS141206 - Pengantar Sistem Operasi B|32|setting
159|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1412062014A|KS141206 - Pengantar Sistem Operasi C|40|setting
160|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1412062014D|KS141206 - Pengantar Sistem Operasi D|30|setting
161|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1412072014A|KS141207 - Arsitektur SI/TI Perusahaan A|19|setting
162|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1412072014B|KS141207 - Arsitektur SI/TI Perusahaan B|22|setting
163|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1412072014C|KS141207 - Arsitektur SI/TI Perusahaan C|9|setting
164|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1412072014D|KS141207 - Arsitektur SI/TI Perusahaan D|14|setting
165|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|KKI|KS141208 - Kepemimpinan dan Ketrampilan Interpersonal|139|setting
166|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1412092014A|KS141209 - Statistika A|42|setting
167|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1412092014B|KS141209 - Statistika B|25|setting
168|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1412102014A|KS141210 - Tata Tulis Ilmiah A|22|setting
169|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1412102014B|KS141210 - Tata Tulis Ilmiah B|23|setting
170|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1412102014C|KS141210 - Tata Tulis Ilmiah C|20|setting
171|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1412102014D|KS141210 - Tata Tulis Ilmiah D|15|setting
172|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1413062014A|KS141306 - Analisis dan Desain Perangkat Lunak A|39|setting
173|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1413062014B|KS141306 - Analisis dan Desain Perangkat Lunak B|24|setting
174|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1413062014C|KS141306 - Analisis dan Desain Perangkat Lunak C|27|setting
175|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1413062014D|KS141306 - Analisis dan Desain Perangkat Lunak D|41|setting
176|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1413072014A|KS141307 - Interaksi Manusia dan Komputer A|39|setting
177|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1413072014B|KS141307 - Interaksi Manusia dan Komputer B|36|setting
178|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1413072014C|KS141307 - Interaksi Manusia dan Komputer C|27|setting
179|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1413072014D|KS141307 - Interaksi Manusia dan Komputer D|23|setting
180|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1413082014|KS141308 - Keamanan Aset Informasi|148|setting
181|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1413092014A|KS141309 - Desain Basis Data A|31|setting
182|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1413092014B|KS141309 - Desain Basis Data B|38|setting
183|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1413092014D|KS141309 - Desain Basis Data D|37|setting
184|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1413092014C|KS141309 - Desain Basis Data C|34|setting
185|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1413102014B|KS141310 - Pemrograman Berbasis Web B|25|setting
186|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1413102014A|KS141310 - Pemrograman Berbasis Web A|42|setting
187|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1413102014C|KS141310 - Pemrograman Berbasis Web C|29|setting
188|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1413102014D|KS141310 - Pemrograman Berbasis Web D|35|setting
189|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1413112014|KS141311 - Konstruksi dan Pengujian Perangkat Lunak|2|setting
190|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1413122014C|KS141312 - Manajemen Proyek TI C|50|setting
191|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1413122014D|KS141312 - Manajemen Proyek TI D|43|setting
192|Sistem Pembelajaran Daring (SPADA) Indonesia|none|KS141314-Daring|KS141314 Perencanaan Sumber Daya Perusahaan|22|setting
193|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1413162014|KS141316 - Manajemen Layanan TI|4|setting
194|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1413172014_|KS141317 - Tata Kelola TI|100|setting
195|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1413182014A|KS141318 - Manajemen Resiko TI A|31|setting
196|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1413182014B|KS141318 - Manajemen Resiko TI B|42|setting
197|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1413182014D|KS141318 - Manajemen Resiko TI D|33|setting
198|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1413182014C|KS141318 - Manajemen Resiko TI C|41|setting
199|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1413192014A|KS141319 - Manajemen Pengadaan dan Investasi TI A|22|setting
200|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1413192014B|KS141319 - Manajemen Pengadaan dan Investasi TI B|64|setting
201|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1413202014AB|KS141320 - Manajemen Rantai Pasok dan Hubungan Pelanggan A&B|76|setting
202|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1413202014D|KS141320 - Manajemen Rantai Pasok dan Hubungan Pelanggan C&D|82|setting
203|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|Pengukuran Kinerja dan Evaluasi TI_1|KS141322 - Pengukuran Kinerja dan Evaluasi TI copy 1|166|setting
204|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|SC|KS141322 - Sistem Cerdas|2|setting
205|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1413222014C|KS141322 - Sistem Cerdas C|17|setting
206|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1413232014_|KS141323 - Pengukuran Kinerja dan Evaluasi TI|42|setting
207|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1413252014A|KS141325 - Etika Profesi SI A|15|setting
208|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1413252014Q|KS141325 - Etika Profesi SI Q|7|setting
209|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1414012014A|KS141401 - Sistem Pendukung Keputusan A|5|setting
210|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1414022014|KS141402 - Penggalian Data dan Anallitika Bisnis|2|setting
211|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS141403AM|KS141403 - Riset Operasi Lanjut|30|setting
212|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1414042014_|KS141404 - Teknik Peramalan|23|setting
213|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1414052014|KS141405 - Pemrograman Perangkat Bergerak|1|setting
214|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1414072014|KS141407 - Pemrograman Integratif|1|setting
215|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52100KS1414132014_|KS141413 - Manajemen Kualitas SI/TI|18|setting
216|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52200KS1423042018|KS142304 - Sistem Manajemen Basis Data (Genap 2018)|31|setting
217|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|52200KS1423062014_|KS142306 - Strategi dan Kebijakan SI/TI|12|setting
218|Sistem Pembelajaran Daring (SPADA) Indonesia|none|MBD_1|Manajemen Basis Data|6|setting
219|Fakultas Teknologi Industri (FTI)|Teknik Industri|Manbi|Manajemen Biaya dan Investasi|24|setting
220|Sistem Pembelajaran Daring (SPADA) Indonesia|none|MRT_1|Manajemen Resiko Teknologi Informasi|37|setting
221|Fakultas Teknologi Kelautan (FTK)|Teknik Sistem Perkapalan|CFD|MARINE CFD|45|setting
222|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Informatika|KI141302|Matematika Diskrit|36|setting
223|Fakultas Teknologi Industri (FTI)|Teknik Kimia|Matekim 1|Matematika Teknik Kimia 1C|51|setting
224|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|GM123456 - MKT|Materi Kuliah Tamu|34|setting
225|Fakultas Teknologi Kelautan (FTK)|Teknik Sistem Perkapalan|ME184101-DD|ME184101-ENGINEERING DRAWING & CAD|59|setting
226|Fakultas Teknologi Kelautan (FTK)|Teknik Sistem Perkapalan|ME184101|ME184101-MENGGAMBAR TEKNIK dan CAD|123|setting
227|Fakultas Teknologi Kelautan (FTK)|Teknik Sistem Perkapalan|ME4306|ME4306-ELEKTRONIKA KAPAL|50|setting
228|Fakultas Teknologi Kelautan (FTK)|Teknik Sistem Perkapalan|MEKFLU|MEKANIKA FLUIDA|36|setting
229|Fakultas Ilmu Alam (FIA)|Fisika|SF092003 S2|Mekanika Statistik (S2) - (Suminar Pratapa, Ph.D)|20|setting
230|Fakultas Teknologi Kelautan (FTK)|Teknik Sistem Perkapalan|ME141302|MEKANIKA TEKNIK|42|setting
231|Fakultas Teknologi Kelautan (FTK)|Teknik Kelautan|Mtk|Menggambar Teknik|1|setting
232|Fakultas Teknologi Industri (FTI)|Teknik Mesin|TM142302|Metode Elemen Hingga|5|setting
233|Sistem Pembelajaran Daring (SPADA) Indonesia|2014-2015 Gasal|MKB-Daring|Metode Kuantitafif dan Bisnis|301|setting
234|Sistem Pembelajaran Daring (SPADA) Indonesia|none|metnum|Metode Numerik|121|setting
235|Fakultas Ilmu Alam (FIA)|Fisika|SF092004|Metode Riset Fisika 2013/2014 (Suminar Pratapa, Ph.D)|64|setting
236|Fakultas Teknologi Industri (FTI)|Teknik Kimia|TK144441|METODOLOGI PENELITIAN|3|setting
237|Fakultas Teknologi Industri (FTI)|Teknik Fisika|MET PEN AULIA|METODOLOGI PENELITIAN DAN PROPOSAL TESIS S2|46|setting
238|Fakultas Teknologi Industri (FTI)|Teknik Fisika|METPEN & RISET|METODOLOGI PENELITIAN DAN RISET ILMIAH - S3|6|setting
239|Fakultas Ilmu Alam (FIA)|Kimia|MR(S3-Kimia)|Metodologi Riset (S3)|1|setting
240|Fakultas Teknologi Industri (FTI)|Teknik Kimia|TK 141223|MK. KIMIA ANALISA (C)|66|setting
241|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|MDPUTL_1819|Model Dispersi Pencemar Udara|22|setting
242|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|Open Talk TA|Open Talk Tugas Akhir|22|setting
243|Fakultas Teknologi Industri (FTI)|Teknik Kimia|TK141363|Operasi Teknik Kimia III - D|44|setting
244|Fakultas Teknologi Industri (FTI)|Teknik Kimia|OPM|Optimasi Proses Migas|27|setting
245|Fakultas Teknologi Industri (FTI)|Teknik Kimia|OTK2-A|OTK2-A|13|setting
246|Fakultas Teknologi Industri (FTI)|Teknik Kimia|OTK2-B|OTK2-B|14|setting
247|Fakultas Teknologi Industri (FTI)|Teknik Industri|OTI|Otomasi Industri|5|setting
248|Fakultas Ilmu Alam (FIA)|Kimia|PKBI|Pembelajaran Kimia Berstandar Internasional (S2 Pengajaran Kimia)|11|setting
249|Sistem Pembelajaran Daring (SPADA) Indonesia|2014-2015 Gasal|PMTI-Daring|Pemetaan I (D3 / 4SKS)|269|setting
250|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Informatika|KI141308-PBO-F|Pemrograman Berorientasi Objek F|31|setting
251|Fakultas Teknologi Industri (FTI)|Teknik Fisika|TF-091352|PEMROSESAN SINYAL (PAK DHANY A)|145|setting
252|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|PUdPiklim_1819|Pencemaran Udara dan Perubahan Iklim|44|setting
253|Fakultas Teknologi Industri (FTI)|Teknik Kimia|PPU-2018|Pengendalian Pencemaran Udara|134|setting
254|Fakultas Teknologi Industri (FTI)|Teknik Kimia|PLI|Pengolahan Limbah Industri|76|setting
255|Fakultas Teknologi Industri (FTI)|Teknik Kimia|PLIPg|Pengolahan Limbah Industri (Pengayaan)|20|setting
256|Fakultas Teknologi Industri (FTI)|Teknik Kimia|PLPLIB3|Pengolahan Limbah Padat, Limbah Industri dan B3|16|setting
257|Fakultas Teknologi Industri (FTI)|Teknik Fisika|PENYUSUNAN PROPOSAL S3|PENYUSUNAN PROPOSAL S3|10|setting
258|Sistem Pembelajaran Daring (SPADA) Indonesia|none|pdaa|Perancangan dan Analisis Algoritma|29|setting
259|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Informatika|PAA-PDITT|Perancangan dan Analisis Algoritma (PAA)|1|setting
260|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Informatika|I141309|Perancangan dan Analisis Algoritma I (D)|33|setting
261|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Informatika|KI141309|Perancangan dan Analisis Algoritma I Daring Spada|34|setting
262|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Informatika|KI141319-A|Perancangan dan Analisis Algoritma II (A)|33|setting
263|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Informatika|KI141319-B|Perancangan dan Analisis Algoritma II (B)|33|setting
264|Sistem Pembelajaran Daring (SPADA) Indonesia|none|PPL-TC_1|Perancangan Perangkat Lunak|242|setting
265|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Informatika|PPL|Perancangan Perangkat Lunak (PPL)|2|setting
266|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Informatika|KI141325A|Perancangan Perangkat Lunak 2017|96|setting
267|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Lingkungan|PencMultiFase-S3|Perpindahan Pencemar Multi-fase|3|setting
268|Sistem Pembelajaran Daring (SPADA) Indonesia|2014-2015 Gasal|PPS-Daring|Probabilitas dan Proses Stokastik|195|setting
269|Fakultas Teknologi Industri (FTI)|Teknik Industri|Prodman|Produktivitas Manufaktur|6|setting
270|Fakultas Teknologi Industri (FTI)|Teknik Kimia|TK141211-A|Program Komputer - A|41|setting
271|Fakultas Teknologi Industri (FTI)|Teknik Kimia|Prospen I|Proses Perpindahan I|53|setting
272|Fakultas Teknologi Industri (FTI)|Teknik Fisika|PROTEKSI RADIASI|PROTEKSI RADIASI|2|setting
273|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Sipil|RC184102|RC184102 Struktur Statis Tertentu (Statically Determinate Structure)|167|setting
