No|Fakultas|Jurusan|Matakuliah
602|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Workshop Pengembangan MK Daring (SHARE-ITS) 25-26 Maret 2014|Menggambar Mesin
603|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Workshop Pengembangan MK Daring (SHARE-ITS) 25-26 Maret 2014|Metode Regresi
604|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Workshop Pengembangan MK Daring (SHARE-ITS) 25-26 Maret 2014|Mata Kuliah FASILITATOR
605|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Workshop Pengembangan MK Daring (SHARE-ITS) 25-26 Maret 2014|Pengantar Teknologi Informasi dan Komunikasi
606|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Workshop Pengembangan MK Daring (SHARE-ITS) 25-26 Maret 2014|Elektronika Digital
607|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Workshop Pengembangan MK Daring (SHARE-ITS) 25-26 Maret 2014|Pengantar Teknologi Eksplorasi Sumberdaya Alam
608|UPMB|TPB - Fisika Dasar|FISIKA DASAR II (Kelas TPB04 dan TPB16)
609|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Workshop Pengembangan MK Daring (SHARE-ITS) 25-26 Maret 2014|Mata Kuliah FASILITATOR copy 1
610|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|RG141462 - Geodinamika dan Deformasi
611|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|RG141319 - Geodesi Satelit - IMA & MYA
612|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Geomatika|RG141322 - Oseanografi Fisik - LMJ
613|Mata Kuliah Program Kerjasama|none|Academic Presentation
614|Sistem Pembelajaran Daring (SPADA) Indonesia|2014-2015 Gasal|Struktur Beton Dasar
615|Sistem Pembelajaran Daring (SPADA) Indonesia|2014-2015 Gasal|Metode Kuantitafif dan Bisnis
616|Sistem Pembelajaran Daring (SPADA) Indonesia|2014-2015 Gasal|Probabilitas dan Proses Stokastik
617|Sistem Pembelajaran Daring (SPADA) Indonesia|2014-2015 Gasal|Pemetaan I (D3 / 4SKS)
618|Sistem Pembelajaran Daring (SPADA) Indonesia|2014-2015 Gasal|TF091332 - Sistem Pengendalian Otomatis (S1/4 SKS)
619|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|KS141203 - Matematika Diskrit
620|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|KS141301 - Desain dan Manajemen Proses Bisnis
621|Fakultas Teknik Sipil, Lingkungan, dan Kebumian (FTSLK)|Teknik Sipil|RC14-1322 - Mechanics of Materials
622|UPMB|none|Wawasan Teknologi dan Komunikasi Ilmiah
623|UPMB|none|Technopreneurship Kelas 19
624|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|KS141405 - Pemrograman Perangkat Bergerak
625|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Optimasi dalam Rekayasa Sipil
626|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Teori Pelat dan Cangkang
627|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Struktur Baja Lanjut
628|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Keandalan Struktur
629|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Metodologi Penelitian dan Laporan Ilmiah
630|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Perilaku Daktail Struktur Beton
631|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Perilaku Daktail Struktur Baja
632|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Metode Elemen Hingga
633|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Dinamika Struktur
634|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Perilaku Daktail Elemen Beton
635|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Teori Elastisitas
636|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Matematika Rekayasa
637|Fakultas Teknologi Informasi dan Komunikasi (FTIK)|Sistem Informasi|KS141312 - Manajemen Proyek TI C
638|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Dam Tanah dan Bantuan
639|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Dewatering dan Penggalian
640|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Metode Elemen Hingga untuk Geoteknik
641|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Metode Perbaikan Tanah
642|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Mekanik Tanah Lanjut
643|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Tanah Gambut
644|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Metodologi Penelitian
645|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Rekayasa Pondasi dan Pemodelan Geoteknik
646|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Rheologi dan Perilaku Mikroskopis Tanah
647|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Mekanika Batuan
648|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Pengujian Tanah lanjut dan Intepretasinya
649|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Analisa Data dan Keandalan Untuk Geoteknik
650|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Matematika Rekayasa
651|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Manajemen Strategi
652|Fakultas Teknologi Elektro (FTE)|Teknik Elektro|Teori & Rancang Bangun Antena
653|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Manajemen Desain
654|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Utilitas
655|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Manajemen Informasi proyek
656|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Manajemen Teknologi Konstruksi
657|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Metodologi Penelitian
658|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Manajemen Sumber Daya Manusia
659|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Manajemen Kualitas dan Resiko
660|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Manajemen Pengadaan dan Kontrak Konstruksi
661|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Manajemen Proyek
662|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Manajemen Keuangan dan Akutansi
663|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Analisa Sistem dan Pengambilan Keputusan
664|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|Aspek Hukum dan Etika Profesi
665|Fakultas Teknologi Industri (FTI)|Teknik Kimia|Proses Perpindahan I
666|Fakultas Teknologi Industri (FTI)|Teknik Kimia|Teknologi Partikel
667|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Statistik Terapan
668|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Aspek Lingkungan pada pengelolaan SDA
669|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Manajemen Sumber Daya Air Terpadu
670|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Rekayasa Pengelolaan Sumber Daya Air
671|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Hidrolika Sungai dan Perpipaan
672|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Data Driven dan Computational Intelegence
673|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Metodologi Penelitian
674|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Hidrologi
675|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Pemrograman Komputer dan Sistem Informasi
676|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Analisa Sumber Daya Air
677|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Aplikasi Statistika untuk keairan
678|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Aplikasi Matematila Untuk Keairan
679|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Manajemen Airport
680|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Manajemen Pelabuhan
681|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Manajemen Kerusakan jalan
682|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Perencanaan Geometrik Lanjut
683|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Sistem Transportasi masal
684|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Dampak Lingkungan dan Keselamatan transportasi
685|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Metodologi Penelitian
686|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Fasilitas Transportasi dan Perpindahan Moda
687|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Pemodelan Transportasi
688|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Rekayasa Jalan Raya dan Perkerasan
689|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Ekonomi Transportasi
690|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Rekaya dam Manajemen Lalu Lintas
691|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Sistem dan perencanaan Transportasi
692|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Metode Kuatitatif untuk Rekayasa Transportasi
693|Fakultas Teknologi Elektro (FTE)|Teknik Elektro|Teori dan Rancang Bangun Antena LJ
694|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Inventarisasi Sistem Informasi Manajemen Aset Infrastruktur
695|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Manajemen Strategi Infrastruktur
696|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Studi kasus Manajemen Aset Infrastruktur
697|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Dasar Teknik Valuasi dan Teknik Evaluasi
698|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Metodologi Pengambilan Keputusan Metodologi Penelitian
699|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Manajemen Pemeliharaan Infrastruktur ke PU an
700|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Ekonomi Manajemen Aset Infrastruktur
701|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Metodologi Penelitian
702|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Kebijakan Permukiman dan Prasarana Wilayah
703|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Sistem Wilayah, Lingkungan dan Hukum Pertahanan
704|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Dasar-Dasar Manajemen Aset Infrastruktur
705|Program Pasca Sarjana (PPS)|Magister Teknik Sipil|Sistem Infrastruktur kePUan
706|Fakultas Ilmu Alam (FIA)|Fisika|Fisika Statistik
707|Fakultas Bisnis dan Manajemen Teknologi (FBMT)|Manajemen Bisnis|TB141301 Pengantar Manajemen Bisnis
708|Fakultas Bisnis dan Manajemen Teknologi (FBMT)|Manajemen Bisnis|TB141308 Akuntansi Manajerial
709|Fakultas Bisnis dan Manajemen Teknologi (FBMT)|Manajemen Bisnis|TB141316 Bisnis Internasional
710|Fakultas Bisnis dan Manajemen Teknologi (FBMT)|Manajemen Bisnis|TB141323 Inovasi dan Manajemen Produk
711|Fakultas Bisnis dan Manajemen Teknologi (FBMT)|Manajemen Bisnis|TB141465 Kepemimpinan dalam Wirausaha
712|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT. 1 PEMETAAN 1 (KELAS Z)
713|Fakultas Vokasi (F Vok.)|Teknik Elektro Otomasi|Teknik Pneumatik dan Hidrolik
714|Fakultas Vokasi (F Vok.)|Teknik Elektro Otomasi|Sistem Instrumentasi
715|Fakultas Bisnis dan Manajemen Teknologi (FBMT)|Manajemen Bisnis|TB141313 Manajemen Investasi dan Portofolio
716|Fakultas Bisnis dan Manajemen Teknologi (FBMT)|Manajemen Bisnis|TB141306 Manajemen Sumber Daya Manusia
717|Fakultas Bisnis dan Manajemen Teknologi (FBMT)|Manajemen Bisnis|TB141315 Manajemen Usaha Kecil
718|Fakultas Bisnis dan Manajemen Teknologi (FBMT)|Manajemen Bisnis|TB141406 Manajemen Ritel
719|Fakultas Bisnis dan Manajemen Teknologi (FBMT)|Manajemen Bisnis|TB141445 Manajemen Lembaga Keuangan
720|Fakultas Bisnis dan Manajemen Teknologi (FBMT)|Manajemen Bisnis|TB141307 Manajemen Keuangan
721|Fakultas Bisnis dan Manajemen Teknologi (FBMT)|Manajemen Bisnis|TB141443 Penilaian Bisnis
722|Fakultas Bisnis dan Manajemen Teknologi (FBMT)|Manajemen Bisnis|TB141426 Pengambilan Keputusan Multi Kriteria
723|Fakultas Bisnis dan Manajemen Teknologi (FBMT)|Manajemen Bisnis|TB141326 Manajemen Kinerja
724|Fakultas Bisnis dan Manajemen Teknologi (FBMT)|Manajemen Bisnis|TB141302 Ekonomi Mikro
725|Fakultas Bisnis dan Manajemen Teknologi (FBMT)|Manajemen Bisnis|TB141304 Manajemen Operasi
726|Fakultas Bisnis dan Manajemen Teknologi (FBMT)|Manajemen Bisnis|TB141202 Matematika Bisnis Kelas A
727|Fakultas Bisnis dan Manajemen Teknologi (FBMT)|Manajemen Bisnis|TB141201 Pengantar Akuntansi
728|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|Teknologi Beton kelas H
729|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|Teknologi Beton Kelas I
730|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|Teknologi Beton Kelas G
731|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|Teknologi Beton Kelas A
732|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|Teknologi Beton kelas B
733|Fakultas Teknologi Industri (FTI)|Teknik Fisika|STATISTIK ENERGI
734|Fakultas Teknologi Industri (FTI)|Teknik Fisika|TF 141401 TEKNIK OPTIMASI
735|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT.3 DRAINASE
736|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT.3 ILMU BAHAN BANGUNAN
737|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT.3 INFRASTRUKTUR TEKNIK SIPIL
738|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT. 3 MEKANIKA TANAH
739|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT. 3 MEKANIKA TEKNIK STATIS TAK TENTU
740|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT.3 PERENCANAAN GEOMETRIK JALAN
741|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT.3 TEKNOLOGI BETON DAN BEKISTING
742|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT.5 PERENCANAAN IRIGASI DAN STRUKTUR BENDUNG
743|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT. 5 REKAYASA GEMPA
744|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT.5 REKAYASA LALU LINTAS
745|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT.1 BAHASA INGGRIS
746|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT1. FISIKA TERAPAN
747|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT1.MATEMATIKA TERAPAN
748|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT.1 MEKANIKA TEKNIK STATIS TERTENTU
749|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT.1 PEMETAAN 1 (Praktikum Waterpass dan poligon)
750|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT.1 PENGGAMBARAN TEKNIK DENGAN KOMPUTER
751|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT.1 WAWASAN KEBANGSAAN
752|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT.3 HIDROLIKA DASAR
753|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT.3 HIDROLOGI DASAR
754|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT.3 INFRASTRUKTUR BANGUNAN TEKNIK SIPIL
755|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT.3 MEKANIKA TANAH II
756|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT.3 MEKANIKA TEKNIK STATIS TAK TENTU KELAS B
757|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT.3 STRUKTUR KAYU
758|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT.3 TEKNOLOGI BETON
759|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT.5 RENCANA ANGGARAN BIAYA
760|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT.5 STRUKTUR BAJA BANGUNAN GEDUNG
761|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT.5 STRUKTUR BETON BANGUNAN GEDUNG
762|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT.5 STRUKTUR JEMBATAN BAJA
763|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT.5 STRUKTUR JEMBATAN BETON
764|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT.5 TECHNOPRENEURSHIP
765|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT.5 TEKNIK PELAKSANAAN DAN KESELAMATAN BANGUNAN TRANSPORTASI
766|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT.5 TEKNIK PERPIPAAN DAN STRUKTUR RESERVOIR
767|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT.5 TEKNIK SUNGAI DAN PENGENDALIAN BANJIR
768|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT.5 UTILITAS BANGUNAN GEDUNG
769|Fakultas Vokasi (F Vok.)|Teknik Infrastruktur Sipil|SMT.5 WADUK DAN BENDUNGAN
770|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|none|CONTOH VIDEO ACER LEARNING
771|Fakultas Teknologi Kelautan (FTK)|Teknik Kelautan|Pemodelan Fisik & Numerik
772|Fakultas Teknologi Kelautan (FTK)|Teknik Kelautan|Pengerukan dan Reklamasi
773|Fakultas Teknologi Kelautan (FTK)|Teknik Kelautan|Perancangan Struktur Pantai (TRB I)
774|Fakultas Teknologi Kelautan (FTK)|Teknik Kelautan|Struktur Perlindungan Pantai
775|Fakultas Teknologi Kelautan (FTK)|Teknik Kelautan|Pondasi Bangunan Laut
776|Fakultas Teknologi Kelautan (FTK)|Teknik Kelautan|Mekanika Tanah
777|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Video Pembelajaran Daring Terbuka dan Terpadu|Pembelajaran Daring Terbuka dan Terpadu
778|Fakultas Teknologi Elektro (FTE)|Teknik Elektro|TE141470 Simulasi Sistem
779|Mata Kuliah Program Kerjasama|none|Bahasa Indonesia (Kelas VII, semester 1)
780|Fakultas Vokasi (F Vok.)|Teknik Elektro Otomasi|Teknik Radio
781|Fakultas Ilmu Alam (FIA)|Kimia|Kimia Medisinal
782|Fakultas Ilmu Alam (FIA)|Kimia|Bioassay
783|Fakultas Ilmu Alam (FIA)|Kimia|Wawasan Riset
784|Mata Kuliah Program Kerjasama|Politeknik Pertanian Samarinda|PENGANTAR ILMU KEHUTANAN
785|Mata Kuliah Program Kerjasama|Politeknik Pertanian Samarinda|Ilmu Tanah Hutan
786|Mata Kuliah Program Kerjasama|Politeknik Pertanian Samarinda|MANAJEMEN HUTAN
787|Mata Kuliah Program Kerjasama|Politeknik Pertanian Samarinda|Silvikultur
788|Mata Kuliah Program Kerjasama|Politeknik Pertanian Samarinda|Mata Kuliah 05
789|Mata Kuliah Program Kerjasama|Politeknik Pertanian Samarinda|Mata Kuliah 06
790|Mata Kuliah Program Kerjasama|Politeknik Pertanian Samarinda|dasar dasar manajemen
791|Mata Kuliah Program Kerjasama|Politeknik Pertanian Samarinda|KIMIA LINGKUNGAN
792|Mata Kuliah Program Kerjasama|Politeknik Pertanian Samarinda|Teknologi Pengolahan Limbah
793|Mata Kuliah Program Kerjasama|Politeknik Pertanian Samarinda|Pencemaran Air
794|Mata Kuliah Program Kerjasama|Politeknik Pertanian Samarinda|SURVEI GPS
795|Mata Kuliah Program Kerjasama|Politeknik Pertanian Samarinda|Dasar Pemetaan Digital
796|Mata Kuliah Program Kerjasama|Politeknik Pertanian Samarinda|Pengantar Geomatika
797|Mata Kuliah Program Kerjasama|Politeknik Pertanian Samarinda|Fisika Dasar
798|Mata Kuliah Program Kerjasama|Politeknik Pertanian Samarinda|Bahasa Indonesia
799|Mata Kuliah Program Kerjasama|Politeknik Pertanian Samarinda|Mata Kuliah16
800|Mata Kuliah Program Kerjasama|Politeknik Pertanian Samarinda|Mata Kuliah17
801|Mata Kuliah Program Kerjasama|Politeknik Pertanian Samarinda|PENGERINGAN KAYU
802|Mata Kuliah Program Kerjasama|Politeknik Pertanian Samarinda|KIMIA KAYU
803|Mata Kuliah Program Kerjasama|Politeknik Pertanian Samarinda|Mata Kuliah20
804|Mata Kuliah Program Kerjasama|Politeknik Pertanian Samarinda|Pengawetan Kayu
805|Mata Kuliah Program Kerjasama|Politeknik Pertanian Samarinda|MIKROBIOLOGI
806|Mata Kuliah Program Kerjasama|Politeknik Pertanian Samarinda|TEKNOLOGI PENGOLAHAN KARET
807|Mata Kuliah Program Kerjasama|Politeknik Pertanian Samarinda|ekologi industri
808|Mata Kuliah Program Kerjasama|Politeknik Pertanian Samarinda|Teknologi Kimia Minyak Atsiri
809|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|PEKERTI ITS 4-6 NOPEMBER 2014|MATERI PEKERTI
810|Fakultas Teknologi Kelautan (FTK)|Teknik Kelautan|Dinamika Struktur II
811|Fakultas Teknologi Kelautan (FTK)|Teknik Kelautan|Fisika Kelautan
812|Fakultas Teknologi Kelautan (FTK)|Teknik Kelautan|Menggambar Teknik
813|Fakultas Vokasi (F Vok.)|Teknik Instrumentasi|STATISTIK TERAPAN
814|Fakultas Teknologi Elektro (FTE)|Teknik Elektro|Dasar Sistem Telekomunikasi
815|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Course yang akan dihapus|Pengembangan Kuliah Daring ITS
816|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Workshop Pengembangan Kuliah Daring (SHARE-ITS) 27-28 NOPEMBER 2014|Teknik pembakaran
817|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Workshop Pengembangan Kuliah Daring (SHARE-ITS) 27-28 NOPEMBER 2014|Kimia Organik
818|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Workshop Pengembangan Kuliah Daring (SHARE-ITS) 27-28 NOPEMBER 2014|Kimia Dasar
819|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Workshop Pengembangan Kuliah Daring (SHARE-ITS) 27-28 NOPEMBER 2014|Mata Kuliah 05
820|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Workshop Pengembangan Kuliah Daring (SHARE-ITS) 27-28 NOPEMBER 2014|Mata Kuliah 06
821|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Workshop Pengembangan Kuliah Daring (SHARE-ITS) 27-28 NOPEMBER 2014|Industrial Ergonomics
822|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Workshop Pengembangan Kuliah Daring (SHARE-ITS) 27-28 NOPEMBER 2014|Quality Control Techniques
823|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Workshop Pengembangan Kuliah Daring (SHARE-ITS) 27-28 NOPEMBER 2014|Pengantar Industri Kimia
824|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Workshop Pengembangan Kuliah Daring (SHARE-ITS) 27-28 NOPEMBER 2014|Kimia Dasar
825|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Workshop Pengembangan Kuliah Daring (SHARE-ITS) 27-28 NOPEMBER 2014|Mata Kuliah 11
826|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Workshop Pengembangan Kuliah Daring (SHARE-ITS) 27-28 NOPEMBER 2014|Analisa data Well-log
827|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Workshop Pengembangan Kuliah Daring (SHARE-ITS) 27-28 NOPEMBER 2014|Mata Kuliah Agama Islam
828|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Workshop Pengembangan Kuliah Daring (SHARE-ITS) 27-28 NOPEMBER 2014|Wawasan Kebangsaaan
829|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Workshop Pengembangan Kuliah Daring (SHARE-ITS) 27-28 NOPEMBER 2014|Literatur Kimia
830|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Workshop Pengembangan Kuliah Daring (SHARE-ITS) 27-28 NOPEMBER 2014|Dasar Kimia Organik
831|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Workshop Pengembangan Kuliah Daring (SHARE-ITS) 27-28 NOPEMBER 2014|Desain Produk 1
832|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Workshop Pengembangan Kuliah Daring (SHARE-ITS) 27-28 NOPEMBER 2014|Dasar Desain Komunikasi Visual 1
833|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Workshop Pengembangan Kuliah Daring (SHARE-ITS) 27-28 NOPEMBER 2014|Perencanaan Bandara
834|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Workshop Pengembangan Kuliah Daring (SHARE-ITS) 27-28 NOPEMBER 2014|Konstruksi Timbunan dan Penahan Tanah
835|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Workshop Pengembangan Kuliah Daring (SHARE-ITS) 27-28 NOPEMBER 2014|Geofisika Matematika I
836|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Workshop Pengembangan Kuliah Daring (SHARE-ITS) 27-28 NOPEMBER 2014|Mata Kuliah 22
837|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Workshop Pengembangan Kuliah Daring (SHARE-ITS) 27-28 NOPEMBER 2014|Mata Kuliah 23
838|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Workshop Pengembangan Kuliah Daring (SHARE-ITS) 27-28 NOPEMBER 2014|Sistem Informasi Perencaan
839|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Workshop Pengembangan Kuliah Daring (SHARE-ITS) 27-28 NOPEMBER 2014|RG091410 Proyeksi Peta
840|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Workshop Pengembangan Kuliah Daring (SHARE-ITS) 27-28 NOPEMBER 2014|Analisa Numerik dan Pemrograman Komputer
841|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Workshop Pengembangan Kuliah Daring (SHARE-ITS) 27-28 NOPEMBER 2014|Tahanan dan Propulsi Kapal
842|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Workshop Pengembangan Kuliah Daring (SHARE-ITS) 27-28 NOPEMBER 2014|Satelit Altimetri (Responsi)
843|Pusat Pengembangan Pendidikan & Akt. Instruksional (P3AI)|Workshop Pengembangan Kuliah Daring (SHARE-ITS) 27-28 NOPEMBER 2014|Mata Kuliah 29
